"time{s}","ModulatedVoltageSource\p_high.u{V}","Inertia\p2.omega{rad/s}"
1.00026903105116,24,0.0192952444115434
1.00028967038583,24,0.0219657259009256
1.0003198902964,24,0.0260653359662813
1.00035011020697,24,0.0303661202139188
1.00038033011754,24,0.0348441443370197
1.00041055002811,24,0.0394782757620752
1.00044076993868,24,0.0442499139547916
1.00047098984925,24,0.0491426347458203
1.00050120975982,24,0.0541419916138379
1.00053142967038,24,0.0592352152219367
1.00056164958095,24,0.0644110797313609
1.00059186949152,24,0.0696596516201965
1.00062208940209,24,0.0749722100358376
1.00065230931266,24,0.0803410283830356
1.00068252922323,24,0.0857593350128604
1.0007127491338,24,0.0912211176844203
1.00074296904437,24,0.0967211191772495
1.00077318895494,24,0.102254658499704
1.00080340886551,24,0.107817656354462
1.00083060678502,24,0.112846545386819
1.00085780470454,24,0.11789400699345
1.00088500262405,24,0.122957940472953
1.00091220054356,24,0.128036478748754
1.00093939846307,24,0.133127967160214
1.00096823622745,24,0.138538933027291
1.00099707399183,24,0.143961214742657
1.00102591175621,24,0.149393414742154
1.00106165106897,24,0.15613758328855
1.00109739038172,24,0.162893024798668
1.00113312969448,24,0.169657960699602
1.00116886900723,24,0.176430858051718
1.00120460831998,24,0.183210395432432
1.00124034763274,24,0.189995434077911
1.00127608694549,24,0.196784995418586
1.00131182625825,24,0.203578233819962
1.001347565571,24,0.210374419313655
1.00138330488375,24,0.217172922771151
1.00145478350926,24,0.230774800284571
1.00151911427222,24,0.243019738322456
1.00158344503518,24,0.255265758031255
1.00164777579814,24,0.267511394907857
1.00171210656109,24,0.279755530546518
1.00177643732405,24,0.291997312530339
1.00184076808701,24,0.304236091068772
1.00190509884997,24,0.31647136929464
1.00196942961292,24,0.328702766738224
1.00203376037588,24,0.340929992538527
1.00209809113884,24,0.353152825036652
1.0021624219018,24,0.365371095537928
1.00222675266475,24,0.377584675531147
1.00229108342771,24,0.389793467031725
1.00235541419067,24,0.40199739546604
1.00241974495363,24,0.414196404317584
1.00248407571658,24,0.426390450936337
1.0026127372425,24,0.45076353885046
1.00274139876841,24,0.475116487540206
1.00287006029433,24,0.499449201245231
1.00299872182024,24,0.523761631020211
1.00312738334616,24,0.548053757267072
1.00325604487207,24,0.572325576674962
1.00338470639799,24,0.596577093772463
1.0035133679239,24,0.620808317429128
1.00377069097573,24,0.669209934199948
1.00402801402756,24,0.717530546785294
1.00428533707939,24,0.765770287300148
1.00454266013122,24,0.813929288322367
1.00505730623489,24,0.910005603247742
1.00557195233855,24,1.00576056441662
1.00608659844221,24,1.10119524814602
1.00711589064953,24,1.2911080628876
1.00917447506417,24,1.66713719263303
1.01123305947881,24,2.03816053559739
1.0153502283081,24,2.76545423870589
1.01946739713738,24,3.47351219724575
1.02358456596667,24,4.16284389082448
1.02770173479595,24,4.83394496463127
1.03181890362524,24,5.4872976728525
1.04005324128381,24,6.74262702361068
1.04828757894237,24,7.93243911250615
1.05652191660094,24,9.06015105017105
1.06475625425951,24,10.1290025763194
1.07299059191808,24,11.1420656901819
1.08122492957665,24,12.1022525632918
1.09769360489379,24,13.8748920250122
1.11416228021093,24,15.4673154433827
1.13063095552807,24,16.8978441168647
1.14709963084521,24,18.1829382238224
1.16356830616235,24,19.3373847182998
1.18003698147948,24,20.3744661472551
1.19650565679662,24,21.3061138916845
1.21297433211376,24,22.1430464519384
1.2294430074309,24,22.8948930547085
1.24591168274804,24,23.5703040754421
1.26238035806518,24,24.1770502794224
1.27884903338232,24,24.7221123027143
1.31178638401659,24,25.6516094441777
1.34142999958744,24,26.3337184618089
1.37107361515829,24,26.8961046681466
1.40071723072914,24,27.3597962628155
1.43036084629999,24,27.742118576143
1.46000446187084,24,28.0573496993807
1.48964807744169,24,28.3172606788069
1.51929169301254,24,28.531559760745
1.54893530858339,24,28.7082528872692
1.57857892415424,24,28.8539403121433
1.60822253972509,24,28.9740626709225
1.63786615529594,24,29.0731054645196
1.66750977086679,24,29.1547675366173
1.69715338643764,24,29.2220991421737
1.72679700200849,24,29.2776153063117
1.75644061757934,24,29.3233894730178
1.78608423315019,24,29.3611310731631
1.81572784872104,24,29.3922495949647
1.84537146429189,24,29.4179072893448
1.87501507986274,24,29.4390624952353
1.93430231100444,24,29.4708719108308
1.99358954214614,24,29.492478170461
2.05287677328783,24,29.5071618081003
2.11216400442953,24,29.517154723566
2.17145123557123,24,29.523961041814
2.23073846671293,24,29.5285939263288
2.29002569785463,24,29.5317442927265
2.34931292899633,24,29.5338874511398
2.40860016013803,24,29.5353476101189
2.46788739127973,24,29.5363427729084
2.52717462242143,24,29.5370199179775
2.64574908470483,24,29.5377732205039
2.75246610075989,24,29.538110331269
2.85918311681495,24,29.538277363128
2.96590013287,24,29.5383731228823
3.07261714892506,24,29.5384209710474
3.28605118103518,24,29.538465329081
3.4994852131453,24,29.5384631275799
3.92635327736553,24,29.5384619589837
4.780089405806,24,29.5384616025867
6.48756166268694,24,29.5384615437543
9.90250617644882,24,29.5384615386894
16.7323952039726,24,29.5384615384665
20,24,29.5384615384618
